Heading,Roll,Pitch
0.00,0.00,0.00
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
8.63,-2.19,-179.81
2.44,-25.62,-179.63
288.19,-36.75,-151.75
236.81,-26.00,-118.06
195.25,-0.31,-177.50
116.25,-1.88,-177.13
90.81,-2.50,-177.19
90.81,-2.50,-177.19
40.75,-2.94,-177.94
345.13,-2.63,-178.63
106.56,-1.56,-176.63
106.56,-1.56,-176.63
